player_name,raw_kd,kd_unit,wr,wr_unit,kpm,kpm_unit,hours,exp_unit,weapons_ge_1000,vers_unit,rev_per_min,rev_unit,build_per_min,build_unit,score
[V3X]~WarpathTT,1.975,0.69,0.5996,0.9104,1.0882,0.6998,4202.0,0.999,10,0.5,0.0229,0.4897,0.0365,0.5652,76.11
V3X_ICU_Uzi,1.924,0.6686,0.5245,0.6385,1.0324,0.6342,2077.0,0.9335,10,0.5,0.0241,0.5103,0.0241,0.47,67.48
[V3X]~The_Titan,1.412,0.4311,0.5711,0.8396,0.7431,0.2714,674.0,0.4585,10,0.5,0.0742,0.9689,0.0742,0.8055,54.21
V3X-Lord_Jeeby,1.675,0.5562,0.5321,0.6784,1.0133,0.6103,497.0,0.3728,10,0.5,0.0372,0.7166,0.0338,0.5447,56.0
V3X HarbyDarby,1.111,0.2986,0.5695,0.8344,0.7254,0.2532,243.1,0.2634,10,0.5,0.2057,1.0,0.2057,0.9958,47.98
V3XTBAGNZ,1.291,0.3751,0.5491,0.7582,0.4407,0.0695,2392.0,0.9634,10,0.5,0.0209,0.4566,0.0209,0.4458,52.86
V3XCrazee,2.124,0.7472,0.5876,0.8848,1.0556,0.6622,805.5,0.5242,10,0.5,0.0621,0.9319,0.0621,0.7405,70.12
V3X-Dat-_ -M3X-_,1.471,0.459,0.6681,0.9804,0.7994,0.3344,363.0,0.3125,10,0.5,0.0159,0.375,0.025,0.4769,50.78
V3X L7 Legion,1.367,0.4101,0.5566,0.7886,0.9239,0.4934,1614.0,0.8474,10,0.5,0.031,0.6246,0.031,0.5231,61.73
[V3X]Vlady_daddy,0.76,0.1785,0.509,0.552,0.5972,0.1464,219.4,0.2543,10,0.5,0.0193,0.4298,0.0195,0.4354,31.94
V3X Mr Krabs,1.028,0.2665,0.5743,0.8494,0.5647,0.1261,143.0,0.2264,10,0.5,0.0202,0.4442,0.0077,0.3489,38.53
V3X-Tharpy17,4.075,0.992,0.6964,0.9898,2.0761,0.9978,756.2,0.4995,10,0.5,0.0387,0.7374,0.0458,0.6334,81.64
V3X-Bagel,5.545,0.9995,0.7089,0.9923,2.7879,0.9999,586.0,0.4152,10,0.5,0.0679,0.9532,0.0801,0.8324,82.31
V3X-Obunga Bin Biden,1.562,0.5024,0.5551,0.7829,0.3081,0.0356,5774.9,1.0,10,0.5,0.0043,0.2146,0.0004,0.2997,53.82
[V3X]-simple-jack476,1.447,0.4476,0.5321,0.6784,1.3749,0.9146,1907.0,0.9089,10,0.5,0.0299,0.6067,0.0074,0.3469,69.28
V3X_RJ__Cue,1.089,0.2897,0.7017,0.9909,0.6134,0.1575,1397.0,0.7825,10,0.5,0.0086,0.2668,0.0084,0.3539,52.34
V3X-SumPickles,1.552,0.4976,0.511,0.5635,0.9606,0.5421,758.0,0.5005,10,0.5,0.0177,0.4035,0.0644,0.7538,52.16
V3X_rigamortis,1.018,0.2627,0.5468,0.7481,1.3969,0.9233,134.0,0.2233,10,0.5,0.0759,0.9721,0.156,0.9808,57.89
V3X_LordMoosely,1.718,0.5765,0.5922,0.8953,0.9339,0.5066,683.0,0.463,10,0.5,0.0646,0.9419,0.2508,0.9989,63.42
V3X_Kant_Go7414,2.405,0.8352,0.4865,0.422,1.1791,0.7909,183.0,0.2407,10,0.5,0.0148,0.3579,0.0001,0.2978,54.17
V3X-Villi,1.875,0.6476,0.6687,0.9807,0.7882,0.3213,836.0,0.5394,10,0.5,0.0103,0.2907,0.0122,0.3809,57.96
V3X-Quimbles,3.433,0.9732,0.7125,0.9929,0.7599,0.2894,2301.0,0.9564,10,0.5,0.004,0.2105,0.0053,0.3322,71.71
